,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł
,126196094409.72,132690457519.69,139654496424.08,144260001155.37,152808759527.18,158227339014.14,176214961241.37,189718824625.78,206933387769.69,229055895558.55,249404898783.41,274529269850.18,282009795145.25
POLSKA,26046678619.51,27044890020.17,27841846607.85,29061953682.25,31150822063.39,31979179100.77,35581252786.31,38015363779.49,41436909828.56,46209297876.92,51079151556.65,56473319801.73,55918207147.65
Makroregion południowy,10836991136.31,11206934382.69,11449544274.64,11812348492.69,12590410636.18,13140683842.01,15068865100.02,16279000320.3,17696379384.78,19885206592.73,21818095991.99,24650472214.23,24298705119.75
MAŁOPOLSKIE,10836991136.31,11206934382.69,11449544274.64,11812348492.69,12590410636.18,13140683842.01,15068865100.02,16279000320.3,17696379384.78,19885206592.73,21818095991.99,24650472214.23,24298705119.75
region małopolskie,1866521778.48,2056257997.39,2081935266.56,2130208683.19,2320429668.83,2420941823.85,2809606504.2,3067595022.36,3363221662.16,3919450599.79,4498440898.92,4998792038.44,4828633817.99
Podregion krakowski,3384810200.5,3336490733.37,3445907816.6,3735659621.24,4048337176.31,4135985727.8,4650430144.87,4960481293.86,5307143311.36,5912034361.01,6198932720.26,7190061157.65,7221663898.52
Podregion Kraków,1776731875.34,1880577542.13,1866421929.43,1844601367.1,1981942627.09,2106969092.67,2387714009.14,2570194057.67,2909272193.06,3156459999.76,3496244147.13,4072862459.59,3802030306.75
Podregion nowosądecki,1355620979.29,1459667102.5,1505054765.17,1534051132.08,1584673507.1,1650825088.7,1990876881.1,2177994489.92,2380051797.53,2648659683.51,2928565462.76,3161679918.59,3234230293.93
Podregion oświęcimski,1494643406.86,1508241067.07,1560916445.11,1534464116.29,1548514942.53,1666933667.85,1871972089.73,2019437754.56,2148881215.37,2466270517.98,2698217489.33,2944800546.05,2952403484.19
Podregion tarnowski,958662895.84,965699940.23,989308051.77,1033363572.79,1106512714.32,1159028441.14,1358265470.98,1483297701.93,1587809205.3,1782331430.68,1997695273.59,2282276093.91,2259743318.37
Podregion nowotarski,15209687483.2,15837955637.48,16392302333.21,17249605189.56,18560411427.21,18838495258.76,20512387686.29,21736363459.19,23740530443.78,26324091284.19,29261055564.66,31822847587.5,31619502027.9
ŚLĄSKIE,15209687483.2,15837955637.48,16392302333.21,17249605189.56,18560411427.21,18838495258.76,20512387686.29,21736363459.19,23740530443.78,26324091284.19,29261055564.66,31822847587.5,31619502027.9
region śląskie,2054060813.97,2150674718.36,2172251850.42,2212107238.75,2356551922.02,2426492926.99,2810200361.49,3070723876.14,3308663508.7,3771395252.97,4223132432.43,4658347344.49,4665911660.41
Podregion bielski,1348983795.62,1452717863.03,1478039663.11,1524986961.01,1630585885.74,1639150802.97,1829334369.67,1951567039.03,2156925463.55,2418933676.64,2675613411.77,2930897754.01,2927773301.18
Podregion bytomski,1575716622.34,1740791306.91,1747215595.67,1812535659.71,1926032468.55,2052152062.25,2200417433.65,2343533775.63,2557963554.89,2788412258,3024462360.27,3320899076.93,3511194220.73
Podregion częstochowski,1860468760.33,1747163608.67,1953150514.66,2162410891.59,2537837505.52,2568255938.02,2298682185.65,2432524729.41,2638693050.31,2911339483.34,3323270584.12,3521493512.53,3473888599.28
